Latitude,Longitude,State,District,Child_Interviewed_count
10.3871439,84.1352968,Andaman and Nicobar Islands,Nicobars,247
12.6518832,92.8976254,Andaman and Nicobar Islands,North & Middle Andaman,200
11.8311681,92.6586401,Andaman and Nicobar Islands,South Andaman,197
14.6818877,77.6005911,Andhra Pradesh,Anantapur,242
13.217176,79.1003289,Andhra Pradesh,Chittoor,230
17.32125,82.0407137,Andhra Pradesh,East Godavari,225
16.3066525,80.4365402,Andhra Pradesh,Guntur,193
16.61,80.7214,Andhra Pradesh,Krishna,200
15.8281257,78.0372792,Andhra Pradesh,Kurnool,366
15.348463,79.560344,Andhra Pradesh,Prakasam,281
14.2580848,79.9192702,Andhra Pradesh,Sri Potti Sriramulu Nellore,256
18.2969747,83.8967813,Andhra Pradesh,Srikakulam,240
17.6868159,83.2184815,Andhra Pradesh,Visakhapatnam,187
18.1066576,83.3955506,Andhra Pradesh,Vizianagaram,254
16.9174181,81.3399414,Andhra Pradesh,West Godavari,181
14.5767233,78.8382644,Andhra Pradesh,Y.S.R.,273
28.081623,96.5221684,Arunachal Pradesh,Anjaw,266
27.7421763,96.642433,Arunachal Pradesh,Changlang,304
28.8128767,96.1526985,Arunachal Pradesh,Dibang Valley,222
27.4231261,93.0175712,Arunachal Pradesh,East Kameng,429
28.1097051,95.1432068,Arunachal Pradesh,East Siang,203
27.7995361,93.5538411,Arunachal Pradesh,Kurung Kumey,447
27.9039651,96.1739116,Arunachal Pradesh,Lohit,397
28.1428728,95.8431018,Arunachal Pradesh,Lower Dibang Valley,295
27.6169349,93.8391557,Arunachal Pradesh,Lower Subansiri,207
27.1719019,93.7029002,Arunachal Pradesh,Papumpare,631
27.5780678,91.8757422,Arunachal Pradesh,Tawang,244
26.9942703,95.5407299,Arunachal Pradesh,Tirap,319
28.7588781,95.2266675,Arunachal Pradesh,Upper Siang,169
27.786802,94.3359635,Arunachal Pradesh,Upper Subansiri,346
27.3427633,92.302446,Arunachal Pradesh,West Kameng,274
28.147254,94.7484518,Arunachal Pradesh,West Siang,213
26.6935448,91.5983959,Assam,Baksa,388
26.3304209,91.0040547,Assam,Barpeta,440
26.5009992,90.5352356,Assam,Bongaigaon,379
24.7821253,92.8577105,Assam,Cachar,376
26.6539048,90.6393702,Assam,Chirang,387
26.4522876,92.027319,Assam,Darrang,431
27.4811106,94.5572847,Assam,Dhemaji,432
26.0206982,89.9743463,Assam,Dhubri,463
27.4728327,94.9119621,Assam,Dibrugarh,318
25.3478004,93.0175712,Assam,Dima Hasao,418
26.0875755,90.563609,Assam,Goalpara,457
26.5238515,93.962337,Assam,Golaghat,319
24.6811018,92.5638055,Assam,Hailakandi,432
26.7465203,94.2025859,Assam,Jorhat,294
26.3160819,91.5983959,Assam,Kamrup,341
26.0794316,91.637215,Assam,Kamrup Metropolitan,227
25.8456764,93.4377584,Assam,Karbi Anglong,414
24.8649128,92.3591531,Assam,Karimganj,514
26.4014362,90.266699,Assam,Kokrajhar,345
27.9462395,80.7787163,Assam,Lakhimpur,361
26.2599654,92.2630393,Assam,Morigaon,483
26.3463713,92.6840426,Assam,Nagaon,430
26.4446185,91.4410527,Assam,Nalbari,329
26.9826098,94.6424521,Assam,Sivasagar,312
26.6738851,92.8577105,Assam,Sonitpur,294
27.4921909,95.346775,Assam,Tinsukia,362
26.6897159,91.9099238,Assam,Udalguri,363
26.1311375,87.445534,Bihar,Araria,719
25.1643264,84.6688348,Bihar,Arwal,649
19.8761653,75.3433139,Bihar,Aurangabad,521
24.7757005,86.8220341,Bihar,Banka,618
25.416675,86.1293792,Bihar,Begusarai,698
25.3478004,86.9824288,Bihar,Bhagalpur,710
25.466155,84.5222189,Bihar,Bhojpur,618
25.5647103,83.9777482,Bihar,Buxar,639
26.111868,85.896004,Bihar,Darbhanga,662
24.7913957,85.0002336,Bihar,Gaya,800
26.4513665,84.3962535,Bihar,Gopalganj,572
24.764688,86.3376761,Bihar,Jamui,733
25.2139287,84.9895549,Bihar,Jehanabad,549
25.0426227,83.6055732,Bihar,Kaimur (Bhabua),626
25.552048,87.5718609,Bihar,Katihar,618
25.5111515,86.476908,Bihar,Khagaria,753
26.0917422,87.9383822,Bihar,Kishanganj,692
25.1673614,86.0988253,Bihar,Lakhisarai,675
25.9286903,86.7909759,Bihar,Madhepura,793
26.4627955,86.1751759,Bihar,Madhubani,631
25.3748,86.4735,Bihar,Munger,525
26.1208876,85.3647201,Bihar,Muzaffarpur,538
25.2621826,85.4788065,Bihar,Nalanda,567
24.8910775,85.5354724,Bihar,Nawada,595
27.1543104,84.3542049,Bihar,Pashchim Champaran,602
25.5940947,85.1375645,Bihar,Patna,1108
